Country,City,Cluster,Geo_Area,Vehicle_MRK_TYPE,Vehicle_ID
1.0,1.0,1.0,1.0,1,9
1.0,1.0,1.0,1.0,6,68
1.0,2.0,1.0,1.0,2,2
1.0,2.0,1.0,1.0,8,1
1.0,14.0,1.0,1.0,1,2
1.0,14.0,1.0,1.0,6,1
1.0,19.0,1.0,1.0,6,1
1.0,21.0,1.0,1.0,1,1
1.0,27.0,1.0,1.0,6,2
1.0,30.0,1.0,1.0,6,6
1.0,34.0,1.0,1.0,6,2
1.0,48.0,1.0,1.0,6,2
1.0,50.0,1.0,1.0,6,4
1.0,54.0,1.0,1.0,6,2
1.0,55.0,1.0,1.0,6,12
1.0,58.0,1.0,1.0,6,19
1.0,70.0,1.0,1.0,6,1
1.0,73.0,1.0,1.0,6,1
1.0,76.0,1.0,1.0,6,1
1.0,81.0,1.0,1.0,6,4
1.0,101.0,1.0,1.0,6,1
1.0,119.0,1.0,1.0,6,1
2.0,3.0,2.0,1.0,3,64
2.0,9.0,2.0,1.0,3,1
3.0,5.0,3.0,1.0,8,1
3.0,5.0,3.0,2.0,4,2
3.0,5.0,3.0,3.0,7,3
3.0,5.0,3.0,6.0,7,4
3.0,5.0,3.0,6.0,8,1
3.0,23.0,3.0,1.0,2,1
3.0,31.0,3.0,3.0,2,1
3.0,89.0,3.0,6.0,7,1
3.0,109.0,3.0,1.0,7,2
4.0,42.0,7.0,1.0,7,13
4.0,42.0,7.0,1.0,8,1
5.0,7.0,4.0,1.0,2,2
5.0,18.0,4.0,1.0,2,1
5.0,33.0,4.0,1.0,2,1
5.0,35.0,4.0,1.0,4,1
5.0,36.0,3.0,1.0,7,1
5.0,36.0,4.0,1.0,7,7
5.0,36.0,4.0,1.0,8,3
5.0,59.0,4.0,1.0,2,1
5.0,84.0,4.0,1.0,7,2
6.0,39.0,6.0,1.0,8,1
6.0,51.0,6.0,1.0,7,6
6.0,56.0,6.0,2.0,2,1
6.0,113.0,6.0,1.0,8,1
7.0,8.0,3.0,3.0,2,2
7.0,11.0,3.0,1.0,4,1
7.0,15.0,3.0,3.0,2,1
7.0,15.0,3.0,3.0,7,1
7.0,22.0,3.0,3.0,8,1
7.0,46.0,3.0,3.0,7,5
7.0,52.0,3.0,3.0,7,1
7.0,82.0,3.0,3.0,7,2
7.0,86.0,3.0,3.0,7,1
7.0,88.0,3.0,3.0,7,1
7.0,95.0,3.0,1.0,7,1
7.0,120.0,3.0,1.0,7,1
8.0,62.0,2.0,1.0,7,9
8.0,103.0,2.0,1.0,7,1
9.0,20.0,4.0,1.0,7,3
9.0,64.0,4.0,1.0,7,24
9.0,67.0,4.0,1.0,7,11
9.0,93.0,4.0,1.0,8,1
9.0,102.0,4.0,1.0,7,1
9.0,124.0,4.0,1.0,7,1
10.0,13.0,2.0,1.0,3,1
10.0,63.0,2.0,1.0,3,2
11.0,74.0,4.0,6.0,7,5
11.0,107.0,4.0,6.0,7,1
12.0,72.0,4.0,1.0,7,2
13.0,65.0,5.0,1.0,7,1
17.0,5.0,3.0,6.0,7,1
17.0,43.0,5.0,1.0,4,1
18.0,49.0,7.0,3.0,7,13
18.0,99.0,7.0,3.0,7,2
20.0,15.0,3.0,3.0,7,1
20.0,22.0,3.0,1.0,7,1
22.0,110.0,8.0,1.0,3,1
