,Battery_Replacement_monthwise,Battery_Replacement_date_count
0,2009-11-01,135
1,2009-02-01,37
2,2009-04-01,771
3,2010-10-01,1261
4,2010-11-01,885
5,2010-12-01,1270
6,2010-04-01,89
7,2010-06-01,431
8,2010-08-01,872
9,2010-09-01,147
10,2011-01-01,1634
11,2011-10-01,2989
12,2011-11-01,26
13,2011-12-01,1268
14,2011-02-01,1603
15,2011-03-01,1136
16,2011-04-01,72
17,2011-05-01,497
18,2011-06-01,585
19,2011-07-01,810
20,2011-08-01,2351
21,2011-09-01,2210
22,2012-01-01,1171
23,2012-10-01,3506
24,2012-11-01,1484
25,2012-12-01,3326
26,2012-02-01,3432
27,2012-03-01,2194
28,2012-04-01,297
29,2012-05-01,2103
30,2012-06-01,426
31,2012-07-01,559
32,2012-08-01,523
33,2012-09-01,1434
34,2013-01-01,955
35,2013-10-01,753
36,2013-11-01,346
37,2013-12-01,385
38,2013-02-01,1402
39,2013-03-01,5964
40,2013-04-01,1207
41,2013-05-01,1905
42,2013-06-01,924
43,2013-07-01,823
44,2013-08-01,932
45,2013-09-01,197
46,2014-01-01,1186
47,2014-10-01,10142
48,2014-11-01,56623
49,2014-12-01,18966
50,2014-02-01,3396
51,2014-03-01,18162
52,2014-04-01,15726
53,2014-05-01,30949
54,2014-06-01,100269
55,2014-07-01,57244
56,2014-08-01,40564
57,2014-09-01,15929
58,2015-01-01,24641
59,2015-10-01,4546
60,2015-11-01,4513
61,2015-12-01,35613
62,2015-02-01,18074
63,2015-03-01,11268
64,2015-04-01,13833
65,2015-05-01,7952
66,2015-06-01,25020
67,2015-07-01,6270
68,2015-08-01,16156
69,2015-09-01,1472
70,2016-01-01,38987
71,2016-10-01,13089
72,2016-11-01,13901
73,2016-12-01,18899
74,2016-02-01,9297
75,2016-03-01,12606
76,2016-04-01,4641
77,2016-05-01,1487
78,2016-06-01,4016
79,2016-07-01,445
80,2016-08-01,5064
81,2016-09-01,2864
82,2017-01-01,7172
83,2017-10-01,6538
84,2017-11-01,5709
85,2017-12-01,3985
86,2017-02-01,8662
87,2017-03-01,5413
88,2017-04-01,5626
89,2017-05-01,1408
90,2017-06-01,3032
91,2017-07-01,2073
92,2017-08-01,5295
93,2017-09-01,4573
94,2018-01-01,4164
95,2018-10-01,2147
96,2018-11-01,3423
97,2018-12-01,3442
98,2018-02-01,4039
99,2018-03-01,3272
100,2018-04-01,904
101,2018-05-01,798
102,2018-06-01,4058
103,2018-07-01,1059
104,2018-08-01,1640
105,2018-09-01,1710
106,2019-01-01,9714
107,2019-02-01,6287
108,2019-03-01,2754
109,2019-04-01,3071
110,2019-05-01,1924
111,2019-06-01,2137
112,2019-07-01,5861
113,2019-08-01,13908
114,2019-09-01,69
